Regla(c, k, u, y, c, b, d, u, z, w, a, i, m, i, y, i, h, s, x, t, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, t, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, f, h, t, d, i, d, t, g, g, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, m, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, i, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, h, a, a, w, w, e, y, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, a, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, w, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, j, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, o, m, q, u, e, z, s, i, l, w, s, j, v, z, m, x, f, i)
Regla(i, w, g, o, r, s, e, i, g, q, f, f, g, c, c, q, a, v, y, u, s, n, o, o, t, v, l, l, i, h, f, w, m, e, k, j, h, b, r, r, q, c, h, a, q, l, i, h, e, t, p, f, e, a, g, l, f, j, w, b, k, w, f, n, f, p, p, l, s, c, l, i, j, j, g, d, p, w, c, m, o, w, c, v, o, i, m, n, r, j, l, h, i, v, m, g, v, p, f, t, e, w, s, c, v, w, n, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, h, h, d, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, j, j, n, a, c, f, j, c, c, s, w, g, a, m, n, j, m, h, h, a, m, i, c, p, b, q, m, s, g, j, h, r, n, m, j, t, g, e, g, r, v, n, m, v, w, s, g, b, i, l, b, c, w, q, o, e, q, a, n, b, w, g, m, r, n, x, t, g, o, r, n, g, n, b, o, o, k, t, b, t, q, d, i, q, h, n, v, i, j, v, o, f, p, s, f, p, q, m, r, h, b, x, l, w, v, t, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, u, h, p, a, o, j, i, r, j, c, m, i, j, l, i, w, r, w, c, s, s, h, g, g, s, q, w, b, l, l, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, g, q, f, f, g, c, c, q, a, v, y, u, s, n, o, o, t, v, l, l, v, h, f, k, i, e, k, j, h, b, r, r, q, c, h, a, q, l, i, h, e, t, p, f, e, o, g, l, f, j, w, b, k, w, f, n, f, p, p, l, s, c, l, i, j, j, g, d, v, w, c, m, o, w, c, v, o, i, m, n, r, j, l, h, i, v, m, g, v, p, f, t, e, u, s, c, v, w, n, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, h, h, d, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, f, j, n, a, c, f, j, c, c, s, w, g, j, m, n, j, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, n, m, v, w, s, g, b, i, l, b, c, w, q, o, e, q, a, n, b, w, g, m, r, n, x, t, g, o, r, n, g, n, b, o, o, k, t, b, t, q, d, i, q, h, n, v, i, j, i, o, f, p, s, f, p, u, m, r, h, b, x, l, w, v, t, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, u, h, p, a, o, j, i, r, j, c, m, i, j, l, i, w, r, w, c, s, s, h, g, g, s, q, w, b, l, l, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, g, q, f, f, g, c, c, q, a, v, y, u, s, n, o, o, t, v, l, l, v, h, f, q, i, e, k, j, h, b, r, r, q, c, t, a, q, l, i, h, e, t, p, f, e, o, g, l, f, j, w, b, k, w, f, n, f, p, p, l, s, c, l, i, j, j, g, g, v, w, c, m, o, w, c, v, o, i, m, n, r, j, l, h, i, v, k, g, v, p, f, t, e, u, s, c, v, w, b, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, h, h, d, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, n, m, v, w, s, g, b, i, l, b, c, w, q, o, e, q, a, n, g, w, g, m, r, n, x, t, g, o, r, n, g, n, b, o, o, k, t, b, t, q, d, i, q, j, n, v, i, j, i, o, f, p, s, f, p, u, m, r, h, b, x, l, w, v, c, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, u, h, p, a, o, j, m, r, j, c, m, i, j, l, i, w, r, w, c, s, s, h, g, g, s, q, w, b, l, l, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, w, q, f, f, g, c, c, q, a, v, y, o, s, n, o, o, t, v, l, l, v, h, f, q, i, e, k, j, h, b, r, r, q, c, p, a, q, l, i, h, e, t, p, f, q, o, g, l, f, j, w, b, k, w, f, n, f, p, p, l, s, c, l, i, j, j, g, g, v, w, c, m, o, w, c, v, o, i, m, n, r, j, l, h, i, v, k, g, v, p, f, t, e, u, s, c, v, w, b, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, h, h, d, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, n, m, v, w, s, g, b, i, l, b, c, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, o, o, k, t, b, t, q, d, i, q, j, n, v, i, n, i, o, f, p, s, f, p, u, m, r, h, b, x, l, w, v, c, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, u, h, p, a, o, j, m, r, j, c, m, i, j, l, i, w, r, w, c, s, s, h, g, g, s, u, w, b, l, l, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, w, q, f, f, g, m, c, q, a, v, x, o, s, n, o, g, t, v, l, l, v, h, f, q, i, e, k, j, h, b, r, r, q, c, p, a, q, l, i, h, e, t, p, f, q, o, g, l, f, j, w, b, k, w, f, g, f, p, p, l, s, c, l, i, j, j, g, g, v, w, c, m, o, w, c, v, o, i, m, n, r, j, j, h, j, v, k, g, v, p, f, t, e, u, s, c, v, w, b, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, h, h, a, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, g, m, v, w, s, g, n, i, l, b, c, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, o, o, k, t, b, t, q, d, i, q, j, n, v, i, n, i, o, f, p, s, f, p, u, m, r, h, b, x, l, w, q, c, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, e, j, l, i, w, r, w, c, s, s, h, g, g, s, u, w, b, l, p, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, w, q, f, f, g, m, c, q, a, v, x, o, s, n, o, g, t, v, l, m, v, h, f, q, i, e, k, j, h, b, r, t, q, c, p, a, q, l, i, h, e, t, p, f, q, o, r, l, f, j, w, b, k, w, f, g, f, p, p, l, s, c, l, i, j, j, g, v, v, w, c, m, o, w, c, v, o, i, m, n, r, j, j, h, j, v, k, g, v, p, f, t, e, u, s, b, v, w, b, q, s, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, v, h, a, c, h, x, l, g, q, g, d, s, w, a, q, v, l, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, a, o, k, t, b, t, q, d, i, q, j, v, v, i, n, i, o, f, p, s, f, p, u, m, r, h, b, n, l, w, q, c, x, f, i, a, m, n, b, t, a, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, w, c, s, s, h, g, g, s, u, w, b, l, p, n, f, h, t, o)
Regla(i, w, g, o, r, s, e, i, w, q, f, f, g, m, c, l, a, v, x, o, s, n, o, g, t, v, l, m, v, h, d, q, i, e, k, j, h, b, r, t, q, c, p, a, q, l, i, h, e, t, p, f, q, o, r, l, r, j, j, b, k, w, f, g, f, p, p, l, s, c, l, i, j, j, g, v, v, w, c, m, o, w, c, h, o, i, m, n, r, j, j, h, j, v, k, g, v, r, f, t, e, u, s, b, v, w, b, q, a, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, v, h, a, c, h, x, l, g, q, g, d, s, w, a, q, v, h, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, a, o, k, t, b, t, q, d, i, q, j, v, v, i, n, i, o, f, p, s, f, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, n, b, t, q, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, l, c, s, s, h, g, g, s, u, w, b, u, p, n, f, h, t, o)
Regla(i, w, g, o, r, s, c, i, w, q, f, f, g, m, c, l, a, v, x, o, s, n, o, g, n, v, l, m, v, h, d, q, i, e, k, j, h, b, r, t, q, c, p, a, q, l, i, b, e, t, p, f, q, o, r, l, r, j, j, b, k, w, f, g, f, p, p, l, s, c, l, i, j, j, g, v, v, w, c, m, o, w, c, h, o, i, m, n, r, j, j, h, j, v, k, g, v, r, f, t, e, u, s, b, v, w, b, q, a, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, v, h, a, c, h, x, l, g, q, g, d, s, d, a, q, v, h, u, f, j, n, a, c, r, j, c, c, s, e, g, j, m, n, a, c, h, h, a, m, i, c, p, b, j, m, s, g, j, h, r, n, m, j, t, g, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, a, o, k, t, b, t, q, d, i, q, j, v, v, i, n, i, o, f, p, s, f, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, n, b, t, q, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, l, c, s, s, h, g, g, s, u, w, b, u, p, n, f, h, t, o)
Regla(i, w, g, o, r, s, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, v, l, m, v, h, d, q, i, e, k, j, h, b, r, t, q, c, p, a, q, l, i, b, e, t, p, f, q, o, r, l, r, j, j, b, k, w, f, g, f, p, p, l, s, c, l, i, j, j, g, v, v, w, c, m, o, w, c, f, o, i, m, n, r, j, j, h, j, v, k, g, v, r, f, t, e, u, s, b, v, w, b, q, a, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, h, v, h, a, c, h, x, l, g, q, g, d, s, d, a, q, v, h, u, f, j, n, a, c, r, j, c, k, s, e, g, h, m, n, a, c, h, h, a, m, i, c, p, b, j, m, m, g, j, h, r, n, m, j, t, g, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, o, e, q, a, n, g, w, m, m, r, n, x, t, g, b, r, n, g, n, b, a, o, k, t, b, t, q, d, i, q, j, v, v, i, n, i, o, f, a, o, f, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, n, k, t, q, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, l, c, s, s, m, g, g, s, u, w, b, u, p, n, f, h, t, o)
Regla(i, w, g, o, r, s, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, l, m, v, h, c, q, i, e, g, j, h, b, r, t, d, p, p, m, q, l, i, j, e, t, p, f, q, o, r, l, r, j, j, b, q, w, f, g, f, u, p, l, s, c, l, i, j, j, g, v, v, w, c, m, o, w, c, f, o, i, m, n, r, j, j, h, j, f, k, g, q, r, f, t, e, u, s, b, v, w, b, q, a, s, x, u, o, b, k, k, e, a, x, p, m, n, i, o, k, i, v, h, a, c, h, x, l, g, q, g, d, s, d, a, q, v, h, u, f, j, n, a, c, r, j, c, k, s, e, g, h, m, n, a, c, h, h, a, m, i, c, p, b, j, m, m, u, c, h, r, n, m, j, n, g, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, o, e, i, a, n, g, c, m, m, r, n, x, v, g, b, r, n, g, n, b, a, o, m, t, b, t, q, d, i, q, j, v, v, i, n, i, o, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, n, k, t, q, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, s, u, w, b, u, s, n, f, n, t, o)
Regla(i, w, g, o, r, s, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, l, m, a, h, c, q, i, e, g, j, h, b, r, t, d, p, p, m, q, l, i, j, e, t, p, f, q, o, r, l, r, j, j, b, q, w, f, g, f, u, p, l, s, c, l, i, j, v, g, v, v, w, c, m, o, w, c, f, o, i, m, n, r, j, j, h, j, f, k, g, i, r, f, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, k, i, v, h, a, c, h, v, l, g, q, g, d, s, d, a, q, v, h, u, f, j, n, a, c, r, j, c, k, s, e, g, k, m, n, a, c, h, h, a, m, i, c, p, b, j, m, m, u, c, h, r, n, m, j, n, n, c, g, r, v, g, m, v, w, s, l, n, a, l, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, r, n, g, n, b, a, o, m, t, b, t, p, d, i, q, j, v, v, i, n, i, o, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, b, k, e, q, h, p, a, o, j, m, r, j, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, s, u, w, b, u, s, n, f, n, t, o)
Regla(i, w, g, o, r, s, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, l, m, a, h, c, q, i, e, g, j, h, b, r, t, d, p, p, m, q, l, i, j, e, t, p, f, q, o, r, l, j, j, j, b, q, w, f, g, f, u, p, l, s, c, e, i, u, v, g, v, v, w, c, m, o, w, c, f, o, i, m, n, q, j, j, h, j, f, k, g, i, r, f, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, a, c, h, v, l, g, q, g, d, s, d, a, q, v, h, u, f, j, n, a, c, r, j, c, k, s, e, g, k, m, n, a, c, t, h, a, m, i, c, p, b, j, m, m, u, c, h, r, n, m, j, n, n, c, g, r, v, g, m, v, w, s, f, n, a, l, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, r, n, g, n, b, a, o, m, t, b, t, p, d, i, q, j, v, v, i, n, i, o, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, b, k, e, q, h, p, a, c, j, m, r, j, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, s, u, w, b, u, s, n, f, n, t, o)
Regla(i, w, g, o, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, p, p, m, q, l, i, j, e, t, p, f, q, o, r, l, j, j, j, b, q, w, f, g, p, u, p, l, s, c, e, i, u, v, g, v, v, w, c, m, o, w, c, f, o, i, m, k, q, j, j, h, j, f, k, g, i, r, f, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, a, c, h, v, l, g, q, g, d, s, d, a, q, v, b, u, f, j, n, a, c, r, j, c, k, s, c, g, k, m, n, a, c, t, h, a, m, i, c, p, b, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, v, g, m, v, w, s, f, n, a, l, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, r, n, g, n, b, a, o, m, t, b, t, p, d, i, q, j, v, v, i, n, i, o, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, j, k, e, q, h, p, a, c, j, m, r, j, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, s, u, w, b, u, s, n, f, n, t, o)
Regla(i, w, g, o, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, q, l, i, j, e, t, p, f, q, o, r, l, j, j, j, b, q, w, f, g, p, u, p, l, s, c, e, i, u, v, g, v, v, w, c, m, o, w, c, f, o, i, m, k, q, j, j, h, j, f, k, g, i, r, g, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, a, c, h, v, l, g, q, g, d, s, d, a, q, v, b, u, f, j, n, a, c, r, j, c, k, s, c, g, k, m, i, a, c, t, g, a, m, i, c, p, b, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, e, g, m, v, w, s, f, n, a, l, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, g, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, j, k, e, q, u, p, a, c, j, m, r, j, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, s, u, w, b, u, s, n, f, n, t, o)
Regla(b, w, g, o, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, q, l, i, j, g, t, p, f, q, o, r, l, j, j, j, b, q, w, f, g, p, u, p, l, s, c, e, i, u, v, g, v, v, w, c, m, o, w, c, f, o, i, m, k, q, j, j, h, j, f, k, g, i, r, g, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, a, c, h, v, l, g, q, h, d, s, d, a, q, v, b, u, f, j, n, a, c, r, j, c, k, d, c, g, k, m, i, a, c, t, g, a, m, i, c, p, b, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, g, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, j, k, e, q, u, p, a, c, j, m, r, k, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, e, u, w, b, u, s, c, f, n, t, o)
Regla(b, w, g, o, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, q, l, i, j, g, t, p, f, q, o, r, l, j, j, j, b, q, w, f, g, p, u, p, s, s, c, e, i, u, v, g, v, v, w, c, s, o, w, c, f, o, i, m, k, q, o, j, h, j, f, k, l, i, r, g, t, e, u, s, b, v, w, b, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, a, c, h, v, l, g, q, h, d, s, d, a, q, v, b, u, f, j, n, a, c, r, j, c, k, d, c, p, k, m, i, a, c, t, g, a, m, i, c, p, t, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, g, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, l, w, q, c, x, f, i, c, m, h, k, t, q, s, l, j, j, k, e, q, u, p, a, c, g, m, r, k, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, e, u, w, b, u, s, c, f, n, t, o)
Regla(b, w, g, o, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, q, l, i, j, g, t, p, f, q, o, r, l, j, j, j, b, q, g, f, g, p, u, p, s, s, c, e, i, u, v, g, v, v, w, c, s, o, w, c, f, o, i, f, k, q, o, j, g, j, f, k, l, i, r, g, t, e, u, s, b, v, w, g, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, i, c, h, v, l, g, q, h, d, s, l, a, q, v, b, i, f, j, n, a, c, r, j, c, k, d, c, p, k, m, i, a, c, t, g, a, m, i, c, p, t, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, g, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, w, w, q, c, x, f, i, c, m, h, k, u, q, s, l, j, j, k, e, q, u, p, u, c, g, m, r, k, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
Regla(b, w, g, t, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, q, l, i, j, j, t, p, f, s, o, r, c, j, j, j, b, q, g, f, g, p, u, p, s, s, c, e, i, u, v, g, v, v, w, c, s, o, w, c, f, o, i, f, k, q, o, q, g, j, f, k, l, i, r, g, t, e, u, s, b, x, w, g, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, h, i, c, k, v, l, g, q, h, d, s, l, a, q, v, b, i, f, j, n, a, c, r, j, c, k, d, b, p, k, m, i, a, c, t, g, a, b, i, c, p, t, j, m, m, k, c, h, r, n, m, j, n, n, c, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, a, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, w, w, q, c, x, f, i, c, m, h, k, u, q, s, l, j, j, k, e, q, u, p, u, c, g, m, r, k, c, m, u, j, l, i, w, r, o, c, s, s, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
Regla(b, w, g, t, u, c, c, i, w, q, f, j, g, m, c, l, a, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, k, l, i, j, j, t, p, f, s, o, r, c, j, j, j, b, q, g, f, g, p, u, p, s, s, c, e, i, u, v, g, v, v, w, v, s, o, w, c, f, o, i, f, k, q, o, q, g, j, f, b, l, i, r, g, c, e, u, s, b, x, e, g, q, a, q, x, u, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, i, i, c, k, v, l, g, q, h, d, s, l, a, q, v, b, i, f, j, n, a, c, r, j, c, k, i, b, p, k, m, i, a, c, t, g, a, b, i, c, p, t, j, m, m, k, m, h, r, n, m, j, n, n, r, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, a, e, b, a, o, u, j, b, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, v, p, u, m, r, h, b, n, w, w, q, c, x, f, i, c, m, h, k, u, q, s, l, j, j, k, e, q, u, p, u, c, g, m, r, k, c, m, u, j, l, q, w, r, o, c, s, s, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
Regla(b, w, g, t, u, c, c, i, w, q, f, j, g, m, c, l, r, v, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, k, m, i, j, n, t, p, f, s, o, r, c, j, j, j, b, q, g, f, g, p, u, p, s, s, c, e, u, u, v, g, v, v, w, v, s, o, w, c, f, o, i, f, k, q, o, q, g, j, f, b, l, i, r, g, c, s, u, s, b, x, e, g, q, a, q, x, h, o, c, k, k, e, a, x, p, m, n, i, o, n, i, v, i, i, f, k, v, l, g, q, h, d, s, l, a, q, x, b, i, f, j, n, a, c, r, j, c, k, i, b, p, k, m, i, a, c, t, m, a, b, i, c, p, t, j, m, m, p, m, h, r, n, m, j, n, n, r, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, n, a, e, b, a, o, u, j, p, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, u, p, u, m, r, e, b, n, w, w, q, c, x, f, i, c, m, h, k, u, q, s, l, j, j, v, e, q, u, p, u, c, g, m, r, k, c, m, u, j, l, q, b, r, o, c, s, d, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
Regla(b, w, g, t, u, c, c, i, w, q, f, j, g, m, b, l, r, q, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, k, h, i, j, n, t, p, f, s, o, r, c, t, j, j, p, q, g, f, g, p, u, p, s, s, c, e, u, u, v, g, v, v, w, o, s, o, w, c, f, o, i, f, k, q, o, q, g, j, f, b, l, a, r, g, c, s, u, s, b, x, e, g, q, a, q, x, h, o, c, k, k, l, a, x, n, m, n, i, o, n, i, v, i, i, f, k, v, l, g, q, h, d, s, l, a, q, x, b, i, f, j, n, a, c, r, j, c, k, i, b, p, k, m, i, a, c, t, m, a, b, i, c, p, t, j, m, m, p, m, h, r, n, m, j, n, n, r, v, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, v, e, i, a, n, g, c, m, v, r, n, c, v, g, b, o, j, a, e, h, a, o, u, j, p, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, u, p, u, m, r, e, b, n, w, w, q, c, x, f, i, c, j, h, k, u, q, s, a, j, c, v, e, q, u, p, u, c, g, m, r, k, c, m, u, j, l, q, b, r, o, c, s, d, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
Regla(b, w, g, t, u, c, c, i, w, q, f, j, g, m, b, l, r, q, x, o, s, n, o, g, n, p, i, m, a, h, c, q, i, e, g, j, h, b, r, t, d, c, p, m, k, h, i, j, n, t, p, f, g, o, r, c, t, j, j, p, q, g, f, g, p, u, p, s, s, c, e, u, u, v, g, v, v, w, o, s, o, w, c, f, o, i, f, k, q, o, q, g, j, f, b, l, a, r, g, c, s, u, s, b, x, e, g, q, a, q, x, h, o, c, k, e, l, a, x, n, m, n, i, o, n, i, v, i, i, f, k, v, l, g, q, h, d, s, l, a, q, x, b, i, d, j, i, a, c, r, t, c, k, i, b, p, k, m, i, a, c, t, m, a, b, b, c, p, t, j, m, m, p, m, h, r, n, m, j, n, n, r, l, r, e, g, m, v, w, s, f, n, a, c, b, j, w, q, d, e, i, a, n, g, c, m, v, t, n, c, v, g, b, o, j, a, e, h, g, o, u, j, p, t, p, d, i, q, j, v, v, a, n, i, v, f, a, o, u, p, u, m, r, e, b, n, w, w, q, c, x, f, i, c, j, h, k, u, q, s, a, j, c, v, e, q, u, p, u, c, g, m, r, k, c, m, u, g, l, q, b, r, o, c, s, d, m, g, g, e, u, w, e, u, s, c, f, n, t, o)
